cust_id,name,address,city,state,zipcode,age,gender,annual_income_usd,avg_spending_per_month
CUST00001,Allison Hill,18196 Anthony Forge,New Carolyn,Oklahoma,26563,43,Female,40937,1784.77
CUST00002,Meredith Barnes,402 Peterson Drives Apt. 511,Davisstad,Rhode Island,35172,35,Female,47104,415.04
CUST00003,Monica Herrera,84959 Janet Cape Apt. 413,South Joshuastad,Hawaii,,31,Female,34326,328.5
CUST00004,Michael Miles,283 Steven Groves,Lake Mark,Wyoming,7832,32,Male,99133,1047.19
CUST00005,Andrew Stewart,39537 Wilkerson Row Suite 242,Lake Anna,Kentucky,98413,56,Male,67727,1965.36
CUST00006,Stephanie Ross,87101 Courtney Turnpike,Carlsonfurt,Missouri,78605,44,Female,70526,212.18
CUST00007,Kendra Maddox DVM,184 Rodriguez Mews,South Aaron,Washington,94830,29,Female,58341,1974.46
CUST00008,Jonathan White,489 Eric Track,New Stephanie,North Dakota,575,42,Female,90493,1938.64
CUST00009,Katherine Rodriguez,3039 Christopher Oval Apt. 822,Arroyoburgh,Kentucky,69664,58,Male,95295,655.94
CUST00010,Jenny Lewis,465 Lam Mission,East Jeffreymouth,Alaska,77611,49,Male,182320,1792.91
CUST00011,Leah Smith,10518 Joshua Oval,New David,Oregon,76026,52,Male,184129,114.74
CUST00012,Richard Aguirre,16566 Shields Center,North Richardmouth,Connecticut,33092,49,Male,141833,962.72
CUST00013,Joshua Taylor,7317 Brent Plains,North Sarabury,Hawaii,53770,63,Male,62700,864.03
CUST00014,Mr. James Brown,64746 Moore Hill Apt. 098,Lake Leeton,Pennsylvania,62994,48,Female,36243,1815.05
CUST00015,Sarah Moore,19136 Shelly Port,New Brooke,South Carolina,11246,61,Female,69060,997.36
CUST00016,Kevin Mills,53462 Bryant Terrace Apt. 079,North Amandahaven,Kentucky,17862,42,Male,111280,894.08
CUST00017,Shirley Suarez,2784 Elizabeth Plaza Suite 124,North Juliaberg,Louisiana,37431,30,Female,160202,1315.23
CUST00018,Michelle Harris,740 Cynthia Village Suite 005,Lake Tina,Hawaii,97655,50,Female,54970,814.02
CUST00019,Michael Hoffman,28059 Russell Canyon,Michaelton,Minnesota,28036,36,Female,30375,1119.46
CUST00020,Mary Gomez,232 Nicole Burg Apt. 563,Erikville,Missouri,5576,54,Female,134050,1915.58
CUST00021,Courtney Velasquez,4330 Raymond Harbors Apt. 458,Frazierside,Michigan,4118,58,Male,182333,484.97
CUST00022,Wesley White,19655 Obrien Pass Apt. 693,Bradleychester,Alabama,68647,57,Male,179595,971.93
CUST00023,Kimberly Ball,6159 Alvarado Crossing,Williamchester,Massachusetts,53244,49,Male,183618,129.22
CUST00024,,299 Sullivan Village Apt. 443,Floydmouth,New Jersey,58406,31,Female,122312,1700.25
CUST00025,Daniel Kennedy,148 Davis Terrace,Lake Lance,Illinois,19814,44,Female,191643,274.83
